Name,Url,Authority,Started On,Finished On,License Number
Fluência Duolingo em Inglês: Elementar (estimativa),https://englishtest.duolingo.com,Duolingo,Aug 2016,,
Aprenda C e C++ - Fundamentos para Lógica de Programação,http://ude.my/UC-WFHI1DKJ,Udemy,Apr 2018,,UC-WFHI1DKJ
Python para Iniciantes,http://ude.my/UC-6XYIYDNP,Udemy,Apr 2018,,UC-6XYIYDNP
Curso de Python ,http://ude.my/UC-CR2F09GX,Udemy,May 2018,,UC-CR2F09GX
Microsoft Excel 2010 - Básico,,Fundação Bradesco,Aug 2018,,857B5DF8-1EAB-4C26-9644-E1E6A767F883
Big Data Fundamentos 2.0,https://api-001.learnworlds.com/certificate/5727789d47d7ddbd598b4581/user/5ba93b865e4cded3978b4578?lw_client=5806214e5e4cdefeed8b4567&access_token=,Data Science Academy,Mar 2019,,5c7122b95e4cde9a838b456e
JavaScript,https://www.udemy.com/certificate/UC-O2PFMVPH/,Udemy Brasil,Oct 2019,,UC-O2PFMVPH
Começando com Spring MVC,https://www.algaworks.com/certs/GFCC8SH0M3/,AlgaWorks,Nov 2019,,GFCC8SH0M3
Curso de Docker,https://fullcycle.com.br/certificado/3bf5139e-5d49-41a9-abcb-f6e770b17200,Full Cycle,Oct 2022,,3bf5139e-5d49-41a9-abcb-f6e770b17200
Curso de Padrões e técnicas avançadas com Git e Github,https://fullcycle.com.br/certificado/c8c304eb-28e6-4bde-95ee-d2545f6e99ae,Full Cycle,May 2023,,c8c304eb-28e6-4bde-95ee-d2545f6e99ae
Curso de Integração Contínua,https://fullcycle.com.br/certificado/eeed893f-c398-4add-a35f-7465c836777c,Full Cycle,Dec 2023,,eeed893f-c398-4add-a35f-7465c836777c
Curso de Kubernetes,https://fullcycle.com.br/certificado/5dcc6902-eec6-410f-a9a0-b1f1a8669328,Full Cycle,Jan 2024,,5dcc6902-eec6-410f-a9a0-b1f1a8669328
Curso de Service Mesh com Istio,https://fullcycle.com.br/certificado/43fb5fc4-688d-4844-8d6b-e7a3fbc75c22,Full Cycle,Feb 2024,,43fb5fc4-688d-4844-8d6b-e7a3fbc75c22
Curso de Docker na prática,https://fullcycle.com.br/certificado/1dd58ae8-22c2-49a0-94aa-916d33938d3b,Full Cycle,May 2025,,1dd58ae8-22c2-49a0-94aa-916d33938d3b
Curso de Docker para desenvolvimento,https://fullcycle.com.br/certificado/aa9c334d-6a33-432f-a7e7-2a4078686ee5,Full Cycle,Oct 2025,,aa9c334d-6a33-432f-a7e7-2a4078686ee5
CSR. SSR. SSG & ISR (Next.js),,Full Stack Club,Nov 2025,,
Server & Client Components (Next JS),,Full Stack Club,Nov 2025,,
