Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Como Liderar de Forma Eficaz,"Todos os líderes enfrentam o mesmo desafio: muito serviço a fazer e pouco tempo disponível. Neste curso, o consultor de liderança Mike Figliuolo apresenta o conceito de ""capital de liderança"", que é a quantidade finita de tempo e energia que temos disponíveis para liderar, gerenciar e desenvolver os membros da equipe. Ele descreve as quatro maneiras que os líderes têm de investir seu capital de liderança: direcionar os colaboradores, garantir que o trabalho seja feito, garantir que o trabalho seja entregue e desenvolver talentos. Em seguida, Mike ajuda a avaliar se você está usando seu capital de liderança com sabedoria, observando os resultados da equipe: a quantidade de trabalho, a qualidade do trabalho, a pontualidade e os impactos na motivação e nos relacionamentos. No final, ele explica como realocar seu capital de liderança e modificar o comportamento seu e da equipe a fim de melhorar o desempenho.",Course,2022-10-08 08:38 UTC,N/A,false,N/A,
Como Conduzir Conversas Difíceis,"Conflitos são inevitáveis, no trabalho e na vida. Gerentes devem abordar problemas de desempenho e colegas com prioridades concorrentes devem descobrir como trabalhar juntos. Essas situações exigem conversas difíceis. Neste curso, Marlene Chism explica como conduzir conversas difíceis, desenvolver as competências de comunicação e melhorar os relacionamentos, trabalho em equipe e desempenho nos negócios. Ela mostra como identificar as diferenças subjacentes nos estilos de trabalho, objetivos e dinâmica de poder e como mudar a forma como vemos os conflitos. Também fornece um modelo para levar a conversa em uma direção positiva e determinar os próximos passos. Além disso, compartilha como testar a resistência com uma simples frase.",Course,2022-02-16 13:55 UTC,N/A,false,N/A,
A Linguagem Corporal da Liderança,"As pesquisas mostram que quando seus sinais verbais e não verbais estão fora de sintonia, as pessoas são forçadas a escolher entre o que ouvem e o que veem. No subconsciente, elas vão acreditar na sua linguagem corporal. Neste curso, a doutora e especialista em linguagem corporal no local de trabalho Carol Kinsey Goman revela como a linguagem corporal é vista e costuma ser mal interpretada. Ela compartilha os seis sinais não verbais que você precisa conhecer para causar uma primeira impressão positiva. Também fala da importância da linguagem corporal para líderes e mostra como você pode criar uma presença de liderança. Por fim, ela oferece dicas simples e eficazes sobre comunicação com gestos e postura.",Course,2021-08-11 12:45 UTC,N/A,false,N/A,
Excel 2016: Tabelas Dinâmicas - Uma Visão Detalhada,"Aprenda a usar tabelas dinâmicas para fazer análises complexas, montar resumos gerenciais e extrair informações estratégicas de bases de dados extensas. Conheça as principais aplicações e ferramentas do Excel para potencializar uma tabela dinâmica convencional, tais como gravação de macro, integração com Access e Power Pivot. Do nível básico ao intermediário, ensinamos tudo o que é essencial saber sobre tabela dinâmica para uma perfomance acima da média na sua empresa.",Course,2019-03-07 09:52 UTC,N/A,false,N/A,
Dicas de 1 Minuto para Criar Tabelas Dinâmicas de Forma Rápida no Excel,"Domine a criação de Tabelas Dinâmicas no Excel com dicas rápidas de um minuto. Um curso perfeito para quem deseja aprender de forma prática e eficiente, abordando desde a criação básica até a personalização avançada das Tabelas Dinâmicas. Aumente sua produtividade e aprenda a analisar dados de maneira eficaz em pouco tempo.",Course,2025-12-10 19:50 UTC,N/A,false,N/A,
Dicas de 1 Minuto sobre as Funcionalidades Mais Úteis do Excel,"Descubra como usar as funcionalidades mais úteis do Excel com dicas rápidas de um minuto! Um curso perfeito para quem quer dominar as ferramentas essenciais do Excel de forma rápida e eficiente. Explore recursos como Tabelas Dinâmicas, Filtros, Formatação Condicional e muito mais. Melhore seu desempenho no Excel em pouco tempo.",Course,2026-01-22 14:24 UTC,N/A,false,N/A,
Word 2016: Formação Básica,"Este é um curso de Formação Básica do Microsoft Word 2016. Ele é voltado para todos aqueles que ainda não conhecem ou que têm conhecimentos básicos do aplicativo. O Word é o editor de textos líder do mercado e é utilizado na maioria das empresas. Se você quer aprender a explorar melhor esse aplicativo, esse curso é voltado para você. Neste curso, verá como utilizar teclas de atalhos para movimentar-se e ser eficiente, aprenderemos a fazer a diagramação de textos com imagens, utilizaremos tabelas, tabulares e falaremos bastante sobre formatação e recursos para tornar seus documentos mais eficazes.",Course,2019-05-02 11:09 UTC,N/A,false,N/A,
Comunicação Assertiva para Gestores de Alto Desempenho,"Pronto/pronta para embarcar na jornada da comunicação assertiva?<br><br>

Junte-se a Marc Tawil, estrategista em comunicação com mais de trinta anos de experiência e explore o poder de liderar com confiança, empatia e assertividade. Desvende os segredos do autoconhecimento e os pilares da ética, valores, limites, necessidades, autoestima e autoconfiança. Desenvolva estratégias para uma comunicação clara e eficaz em diversos cenários, abrangendo desde a linguagem corporal até a gestão de conflitos. Gerencie sua comunicação com maestria, adaptando-se à complexidade do cenário corporativo, e torne-se um gestor ou gestora de alto desempenho que inspira e transforma.",Course,2025-02-21 08:53 UTC,N/A,false,N/A,
Como Passar da Colaboração à Gerência,"Antes de começar em seu primeiro cargo de gerência, é importante se preparar para uma mudança de mentalidade e prioridades. Nesse curso, a coach em liderança, autora de best-sellers e consultora Roberta Matuson explica como iniciar com êxito seu novo cargo de gerência. Roberta compartilha estratégias que ajudarão você a fazer a transição de foco em seu próprio desempenho, como colaborador individual, para foco no sucesso da equipe, como gerente. Ela ajuda você a enfrentar os obstáculos comuns, como gerenciar ex-colegas, obter o compromisso e avaliar a equipe, e se preparar para evoluir como líder.",Course,2019-01-31 23:36 UTC,N/A,false,N/A,
Análise de Dados com SQL Server,"Sabemos que o SQL Server é uma ferramenta poderosa de gerenciamento de banco de dados, que armazena e dá acesso aos seus dados para análise, mas estamos prontos para explorar todo o seu potencial?<br>
Neste curso, vamos descobrir várias maneiras de trabalhar com análise de dados usando o SQL Server, o Sistema de Gerenciamento de Banco de Dados da Microsoft. Trabalharemos com o SQL Server Management Studio (SSMS) nessa jornada.<br>
Juntos, vamos explorar seus recursos e possibilidades, integrando a análise de dados em nossas atividades diárias.<br>
Capacite-se na melhor solução de gerenciamento de banco de dados do mercado e prepare-se para uma jornada de aprendizado e transformação.",Course,2026-01-07 01:25 UTC,N/A,false,N/A,
